feature,gain,weight,cover
Volatility,0.22067850828170776,299.0,1674.3310546875
High_Low_Range,0.1056598424911499,150.0,1179.719970703125
Volatility_10d,0.08184639364480972,74.0,532.0134887695312
ATR_Ratio,0.05600816383957863,178.0,1599.2752685546875
Volume_Ratio,0.04387732595205307,251.0,1120.2828369140625
High_Volatility,0.03511137142777443,31.0,599.6774291992188
Return,0.03379082307219505,334.0,1263.3443603515625
BB_Width,0.03219541907310486,91.0,932.7252807617188
Price_Range_5d,0.022841760888695717,97.0,661.6597900390625
Volume_Price_Trend,0.022468969225883484,140.0,832.7357177734375
Volatility_Regime,0.02207101881504059,9.0,1047.111083984375
Price_vs_MA10,0.021059846505522728,130.0,645.046142578125
Volatility_20d,0.02103707194328308,58.0,651.586181640625
Encoded_Ticker,0.019374379888176918,8.0,658.75
MA10,0.017773045226931572,56.0,589.7857055664062
Trend_5d,0.01728072017431259,76.0,518.9736938476562
Momentum,0.01691635325551033,50.0,413.29998779296875
Stoch_D,0.016621936112642288,62.0,220.88710021972656
Volatility_Ratio,0.015485038980841637,96.0,535.1145629882812
Stoch_K,0.014250523410737514,55.0,435.7272644042969
MACD,0.014184048399329185,58.0,613.3793334960938
MA50,0.014174528419971466,25.0,515.8800048828125
Trend_10d,0.01406832318753004,61.0,546.098388671875
Williams_R,0.01362182479351759,18.0,437.9444580078125
Price_vs_MA50,0.013454331085085869,61.0,958.2294921875
MA_Ratio,0.013258248567581177,46.0,667.8695678710938
BB_Position,0.013020113110542297,47.0,479.1914978027344
MACD_Signal,0.012156715616583824,47.0,1197.7872314453125
MACD_Histogram,0.011967776343226433,42.0,488.4047546386719
RSI,0.011876450851559639,26.0,288.19232177734375
OBV,0.011774909682571888,47.0,524.723388671875
Trend_20d,0.010392028838396072,56.0,907.1607055664062
Low_Volatility,0.009702241979539394,2.0,783.0
