feature,gain,weight,cover
MA50,0.03975709155201912,230.0,919.4198608398438
MA10,0.03959059715270996,217.0,542.0877075195312
MACD_Histogram,0.03637386113405228,222.0,656.7127685546875
ATR_Ratio,0.036355383694171906,210.0,557.1251220703125
Price_vs_MA10,0.03599023073911667,112.0,132.12913513183594
MA_Ratio,0.035437311977148056,207.0,437.80499267578125
Encoded_Ticker,0.03533926233649254,139.0,316.4447326660156
BB_Width,0.03483033925294876,304.0,764.6182250976562
Volatility,0.034309592097997665,220.0,883.0775146484375
MACD_Signal,0.033503495156764984,180.0,923.6843872070312
Volatility_Regime,0.03342290595173836,3.0,246.3851318359375
Volatility_20d,0.03238155320286751,269.0,502.7718505859375
High_Volatility,0.032325565814971924,24.0,130.2449493408203
OBV,0.03222336247563362,424.0,728.9246826171875
Trend_5d,0.03176392987370491,129.0,506.67962646484375
MACD,0.03153589740395546,216.0,691.5081176757812
Price_vs_MA50,0.03117586299777031,83.0,477.60736083984375
Trend_20d,0.030878353863954544,97.0,244.913330078125
Return,0.030328933149576187,126.0,504.46160888671875
Volatility_10d,0.030164208263158798,210.0,477.9252624511719
RSI,0.03007289581000805,142.0,865.4581298828125
Price_Range_5d,0.028872396796941757,175.0,899.7261352539062
Stoch_D,0.028562063351273537,142.0,756.0486450195312
Momentum,0.027680475264787674,155.0,529.8402709960938
Volatility_Ratio,0.027445025742053986,307.0,433.41845703125
Volume_Price_Trend,0.027346473187208176,61.0,111.5539779663086
Stoch_K,0.027158010751008987,142.0,549.9683227539062
Volume_Ratio,0.02683214657008648,145.0,385.219482421875
High_Low_Range,0.025763602927327156,129.0,277.9775390625
BB_Position,0.025641126558184624,122.0,740.41064453125
Trend_10d,0.025299465283751488,109.0,194.90460205078125
Low_Volatility,0.021638624370098114,12.0,61.67135238647461
Williams_R,0.0,0.0,0.0
